Date,Subways: Total Estimated Ridership,Subways: % Change From Pre-Pandemic Equivalent Day,Buses: Total Estimated Ridership,Buses: % Change From Pre-Pandemic Equivalent Day,LIRR: Total Estimated Ridership,LIRR: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Metro-North: Total Estimated Ridership,Metro-North: % Change From 2019 Monthly Weekday/Saturday/Sunday Average,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % Change From Pre-Pandemic Equivalent Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % Change From Pre-Pandemic Equivalent Day
11/23/2021,"3,264,258",-44.10%,"1,309,118",-43.20%,"162,200",-44%,"136,600",-47%,"22,574",-29.20%,"989,345",-0.80%
11/22/2021,"3,123,920",-45.50%,"1,384,593",-39.10%,"156,900",-46%,"127,800",-52%,"21,441",-28.30%,"901,942",-0.40%
11/21/2021,"1,674,592",-25.70%,"668,273",-28.30%,"80,500",-14%,"66,900",-17%,,,"841,901",11.50%
11/20/2021,"2,136,409",-33.00%,"857,104",-36.90%,"94,400",-16%,"82,900",-14%,,,"915,131",2.00%
11/19/2021,"3,253,680",-44.00%,"1,409,210",-35.70%,"151,800",-49%,"127,100",-53%,"22,662",-25.50%,"987,149",0.90%
11/18/2021,"3,417,348",-43.10%,"1,498,026",-35.80%,"157,400",-45%,"132,600",-49%,"24,071",-25.80%,"959,226",-0.10%
11/17/2021,"3,374,032",-43.10%,"1,496,181",-35.70%,"158,400",-45%,"131,100",-49%,"24,396",-27.20%,"915,266",-1.40%
11/16/2021,"3,345,678",-43.30%,"1,488,967",-35.90%,"161,400",-44%,"137,200",-47%,"23,694",-27.50%,"902,386",-0.80%
11/15/2021,"3,115,244",-44.50%,"1,436,560",-33.90%,"161,000",-45%,"132,200",-50%,"22,208",-25.30%,"890,524",0.90%
11/14/2021,"1,704,908",-30.00%,"657,129",-35.00%,"72,500",-22%,"62,900",-22%,"12,460",-34.30%,"858,311",4.60%
11/13/2021,"2,172,149",-32.90%,"815,114",-38.10%,"80,800",-28%,"74,300",-23%,"13,124",-24.90%,"869,112",-3.80%
11/12/2021,"3,164,764",-46.20%,"1,350,608",-39.40%,"141,700",-53%,"117,700",-56%,"21,598",-31.00%,"919,941",-7.10%
11/11/2021,"2,927,728",-39.00%,"1,198,235",-33.90%,"143,400",-50%,"122,900",-53%,"19,846",-10.20%,"895,643",5.40%
11/10/2021,"3,359,437",-42.40%,"1,514,453",-31.00%,"159,300",-44%,"134,400",-48%,"24,608",-23.70%,"926,005",0.90%
11/09/2021,"3,287,134",-43.40%,"1,518,264",-30.80%,"157,200",-46%,"134,100",-48%,"24,504",-22.40%,"898,518",1.20%
11/08/2021,"3,072,454",-47.20%,"1,461,178",-36.80%,"159,700",-45%,"131,100",-51%,"22,136",-26.50%,"889,544",-3.20%
11/07/2021,"1,891,963",-34.30%,"614,513",-38.00%,"81,200",-13%,"72,200",-10%,"10,647",-37.00%,"780,686",0.50%
11/06/2021,"2,198,274",-32.10%,"864,499",-33.90%,"84,900",-25%,"80,800",-16%,"13,672",-22.90%,"910,587",-0.40%
11/05/2021,"3,300,207",-43.70%,"1,457,014",-33.30%,"150,200",-50%,"121,800",-55%,"23,009",-22.30%,"966,007",-1.50%
11/04/2021,"3,291,525",-45.40%,"1,486,942",-36.40%,"151,400",-47%,"126,500",-51%,"24,009",-25.50%,"931,012",-2.50%
11/03/2021,"3,301,103",-45.20%,"1,507,287",-36.60%,"154,200",-46%,"131,000",-49%,"23,349",-29.90%,"901,230",-3.70%
11/02/2021,"2,853,901",-48.50%,"1,258,180",-40.20%,"147,800",-49%,"129,300",-50%,"22,016",-27.80%,"853,432",-4.30%
11/01/2021,"3,041,089",-47.80%,"1,448,304",-37.40%,"158,400",-46%,"131,300",-51%,"21,387",-29.00%,"898,451",-2.20%
10/31/2021,"1,748,679",-30.50%,"656,203",-37.60%,"68,700",-27%,"66,300",-18%,"12,233",-37.00%,"824,978",-3.90%
10/30/2021,"2,046,487",-38.90%,"819,620",-40.90%,"76,500",-32%,"69,300",-28%,"12,642",-30.60%,"854,656",-7.70%
10/29/2021,"3,258,376",-45.30%,"1,426,938",-37.00%,"153,300",-49%,"122,600",-54%,"22,477",-25.70%,"963,442",-2.80%
10/28/2021,"3,373,576",-41.60%,"1,515,489",-30.20%,"159,600",-45%,"132,200",-49%,"24,814",-14.50%,"959,835",8.30%
10/27/2021,"3,307,634",-45.10%,"1,503,535",-36.30%,"155,900",-46%,"129,900",-50%,"24,144",-24.80%,"914,494",-1.20%
10/26/2021,"2,707,913",-54.70%,"1,233,660",-46.90%,"130,100",-55%,"104,500",-60%,"21,220",-31.80%,"738,636",-19.10%
10/25/2021,"3,001,962",-47.90%,"1,461,023",-37.00%,"158,300",-46%,"125,800",-53%,"21,724",-24.80%,"883,887",-3.30%
10/24/2021,"1,601,835",-27.30%,"659,283",-24.40%,"69,600",-26%,"68,200",-15%,"12,314",-28.10%,"883,371",13.70%
10/23/2021,"2,079,731",-37.70%,"847,596",-39.40%,"74,700",-34%,"82,900",-14%,"13,556",-24.00%,"914,737",-3.90%
10/22/2021,"3,232,113",-45.30%,"1,471,199",-35.90%,"145,800",-51%,"126,600",-53%,"22,843",-24.30%,"986,548",-2.00%
10/21/2021,"3,275,195",-46.50%,"1,476,434",-38.00%,"149,900",-48%,"127,300",-51%,"24,007",-25.20%,"948,652",-3.70%
10/20/2021,"3,241,475",-46.50%,"1,525,608",-36.40%,"155,200",-46%,"131,100",-49%,"24,474",-25.30%,"916,246",-3.10%
10/19/2021,"3,185,458",-45.10%,"1,510,722",-33.30%,"153,400",-47%,"130,000",-50%,"23,403",-22.00%,"899,389",2.80%
10/18/2021,"2,989,693",-47.30%,"1,461,843",-36.20%,"153,700",-47%,"127,400",-52%,"21,454",-21.90%,"889,996",1.80%
10/17/2021,"1,631,844",-33.00%,"663,944",-32.20%,"74,800",-20%,"69,700",-13%,"12,564",-32.60%,"891,527",6.90%
10/16/2021,"2,044,396",-39.20%,"856,990",-38.00%,"83,400",-26%,"74,900",-22%,"13,307",-24.70%,"896,392",-6.10%
10/15/2021,"3,233,854",-46.10%,"1,491,099",-34.70%,"150,900",-50%,"124,700",-54%,"23,251",-22.80%,"990,940",-3.70%
10/14/2021,"3,248,072",-46.60%,"1,527,543",-34.00%,"154,600",-46%,"126,800",-51%,"24,144",-23.00%,"952,876",-1.70%
10/13/2021,"3,164,655",-45.90%,"1,511,356",-31.10%,"151,300",-47%,"124,800",-52%,"24,396",-21.60%,"907,632",-0.20%
10/12/2021,"3,110,171",-47.10%,"1,514,608",-35.60%,"154,600",-46%,"128,200",-51%,"23,848",-21.30%,"910,639",-0.40%
10/11/2021,"2,267,498",-46.80%,"1,045,865",-36.00%,"131,700",-55%,"114,500",-57%,"16,917",-11.10%,"878,443",2.90%
10/10/2021,"1,499,551",-43.60%,"601,821",-44.20%,"65,600",-30%,"59,000",-27%,"11,794",-36.20%,"806,025",-10.00%
10/09/2021,"2,052,746",-37.20%,"856,308",-37.90%,"84,600",-25%,"82,000",-15%,"13,634",-22.10%,"919,384",-2.20%
10/08/2021,"3,175,133",-45.90%,"1,473,912",-35.40%,"153,800",-49%,"123,600",-54%,"23,356",-21.70%,"1,001,210",-3.00%
10/07/2021,"3,198,045",-47.10%,"1,523,168",-35.80%,"150,100",-48%,"121,400",-53%,"24,571",-21.90%,"951,212",-2.10%
10/06/2021,"3,147,958",-47.10%,"1,532,668",-36.60%,"149,600",-48%,"123,100",-52%,"24,678",-20.50%,"913,993",-1.30%
10/05/2021,"3,098,187",-45.90%,"1,499,767",-35.00%,"150,200",-48%,"124,700",-52%,"23,644",-22.20%,"887,129",1.00%
10/04/2021,"2,870,940",-49.80%,"1,419,155",-39.60%,"152,600",-47%,"121,300",-54%,"21,794",-25.20%,"871,945",-3.60%
10/03/2021,"1,577,642",-37.40%,"673,253",-37.40%,"74,900",-20%,"66,800",-17%,"12,936",-32.80%,"887,540",2.00%
10/02/2021,"2,066,222",-38.10%,"883,902",-37.20%,"86,600",-23%,"80,900",-16%,"14,145",-20.20%,"923,455",-1.30%
10/01/2021,"3,169,206",-47.20%,"1,492,942",-36.00%,"140,000",-53%,"116,200",-57%,"23,098",-22.70%,"985,786",-1.90%
9/30/2021,"3,153,965",-47.60%,"1,516,081",-34.30%,"144,800",-50%,"121,800",-53%,"23,555",-25.40%,"953,501",1.80%
9/29/2021,"3,070,509",-48.40%,"1,513,184",-37.40%,"137,500",-52%,"120,000",-54%,"23,323",-24.90%,"886,785",-4.20%
9/28/2021,"2,934,542",-51.20%,"1,457,421",-38.90%,"141,200",-51%,"118,300",-55%,"21,727",-27.80%,"831,192",-9.90%
9/27/2021,"2,880,083",-50.00%,"1,489,441",-36.40%,"146,200",-50%,"121,500",-54%,"21,209",-24.30%,"881,116",-4.60%
9/26/2021,"1,616,915",-36.30%,"657,257",-39.90%,"80,100",-14%,"64,900",-19%,"12,034",-35.70%,"895,286",-2.50%
9/25/2021,"2,132,211",-33.60%,"872,490",-37.40%,"88,500",-22%,"81,300",-16%,"13,909",-18.30%,"953,628",-1.80%
9/24/2021,"3,128,041",-46.90%,"1,469,705",-36.30%,"142,800",-52%,"116,700",-57%,"21,941",-23.50%,"986,694",-3.40%
9/23/2021,"3,022,830",-50.20%,"1,483,075",-37.40%,"140,100",-51%,"115,500",-56%,"23,031",-24.70%,"915,198",-6.00%
9/22/2021,"3,027,925",-50.10%,"1,506,211",-37.30%,"139,900",-51%,"120,100",-54%,"23,157",-27.20%,"872,883",-7.90%
9/21/2021,"3,025,310",-49.70%,"1,505,803",-36.80%,"142,700",-51%,"123,900",-52%,"22,399",-25.50%,"860,050",-6.80%
9/20/2021,"2,889,759",-49.80%,"1,481,676",-36.80%,"148,100",-49%,"122,100",-54%,"21,889",-21.90%,"895,109",-3.00%
9/19/2021,"1,598,720",-38.90%,"674,024",-39.80%,"69,400",-26%,"64,100",-20%,"12,612",-32.60%,"914,623",-2.10%
9/18/2021,"2,017,430",-39.30%,"871,175",-38.90%,"77,300",-31%,"76,300",-21%,"14,054",-20.50%,"949,178",-2.50%
9/17/2021,"3,034,676",-49.30%,"1,456,201",-37.40%,"142,100",-53%,"119,300",-56%,"23,282",-19.30%,"982,085",-3.20%
9/16/2021,"2,539,853",-57.90%,"1,210,069",-50.00%,"128,000",-56%,"107,700",-59%,"20,826",-32.80%,"864,413",-11.80%
9/15/2021,"2,993,744",-50.10%,"1,503,627",-38.20%,"139,900",-51%,"116,400",-55%,"23,966",-25.40%,"904,733",-4.20%
9/14/2021,"3,017,947",-49.40%,"1,511,145",-37.60%,"144,900",-50%,"120,500",-54%,"23,132",-24.70%,"908,024",-2.50%
9/13/2021,"2,858,929",-49.70%,"1,441,516",-39.10%,"147,800",-49%,"122,500",-54%,"21,898",-22.50%,"914,827",-1.50%
09/12/2021,"1,591,655",-37.90%,"694,561",-37.40%,"77,000",-18%,"59,000",-27%,"12,239",-33.80%,"899,864",-2.10%
09/11/2021,"1,985,273",-36.70%,"870,791",-37.10%,"82,200",-27%,"65,300",-32%,"13,070",-22.60%,"917,704",-2.30%
09/10/2021,"2,845,820",-51.60%,"1,322,430",-43.60%,"150,900",-50%,"113,500",-58%,"23,037",-21.90%,"995,486",-2.00%
09/09/2021,"2,708,091",-54.50%,"1,249,341",-48.00%,"139,500",-52%,"111,700",-57%,"23,653",-23.90%,"911,040",-6.20%
09/08/2021,"2,534,847",-54.00%,"1,192,895",-45.30%,"135,700",-53%,"110,900",-57%,"22,354",-26.60%,"896,020",-4.40%
09/07/2021,"2,238,469",-57.90%,"1,102,372",-48.10%,"137,600",-52%,"113,700",-56%,"21,143",-26.20%,"902,400",-5.20%
09/06/2021,"1,523,354",-31.70%,"733,947",-22.60%,"77,900",-17%,"51,300",-81%,"10,077",5.50%,"812,884",9.60%
09/05/2021,"1,416,893",-43.20%,"618,622",-42.90%,"71,000",-24%,"45,200",-44%,"11,931",-36.30%,"832,200",-7.20%
09/04/2021,"1,779,743",-39.00%,"834,456",-37.70%,"84,800",-25%,"57,100",-41%,"13,382",-18.20%,"927,358",-1.50%
09/03/2021,"2,394,842",-51.20%,"1,221,668",-39.00%,"139,800",-53%,"97,900",-64%,"22,585",-15.50%,"1,014,806",-1.90%
09/02/2021,"1,664,178",-68.50%,"1,188,941",-43.00%,"105,600",-63%,N/A,N/A,"21,179",-24.20%,"851,145",-16.70%
09/01/2021,"2,298,999",-55.80%,"1,086,148",-46.30%,"118,400",-59%,"90,600",-65%,"20,878",-28.10%,"811,053",-14.20%
8/31/2021,"2,537,974",-51.30%,"1,246,463",-39.40%,"133,600",-54%,"99,900",-62%,"22,724",-19.40%,"936,181",-0.50%
8/30/2021,"2,325,695",-52.30%,"1,182,908",-39.00%,"131,600",-55%,"97,100",-63%,"19,224",-24.30%,"911,105",-1.60%
8/29/2021,"1,400,642",-43.90%,"630,281",-41.80%,"68,800",-26%,"54,100",-33%,"11,558",-38.30%,"890,505",-0.70%
8/28/2021,"1,661,095",-43.00%,"776,489",-42.00%,"69,000",-39%,"56,200",-42%,"12,760",-22.00%,"890,293",-5.40%
8/27/2021,"2,392,602",-51.30%,"1,147,249",-42.70%,"119,700",-60%,"90,500",-66%,"21,211",-20.60%,"973,335",-5.90%
8/26/2021,"2,485,132",-52.90%,"1,222,996",-41.30%,"122,100",-58%,"91,000",-65%,"22,068",-21.10%,"950,534",-6.90%
8/25/2021,"2,503,420",-51.80%,"1,236,342",-38.90%,"127,400",-56%,"93,300",-64%,"23,351",-19.60%,"957,036",1.30%
8/24/2021,"2,467,406",-52.70%,"1,234,884",-40.00%,"130,600",-55%,"98,300",-62%,"22,679",-19.60%,"942,935",0.20%
8/23/2021,"2,056,731",-57.80%,"1,032,792",-46.70%,"110,000",-62%,"84,200",-68%,"18,809",-25.90%,"821,654",-11.20%
8/22/2021,"745,800",-68.00%,"369,246",-66.50%,"27,500",-71%,"16,100",-80%,"7,979",-55.00%,"489,334",-47.30%
8/21/2021,"1,716,439",-40.80%,"822,340",-40.30%,"72,800",-35%,"62,000",-36%,"13,046",-21.00%,"941,331",-4.40%
8/20/2021,"2,460,924",-49.60%,"1,183,308",-37.70%,"124,600",-58%,"99,500",-63%,"21,451",-20.70%,"969,814",-4.20%
8/19/2021,"2,444,495",-52.10%,"1,194,375",-39.90%,"117,400",-59%,"93,000",-64%,"21,838",-22.80%,"939,085",-5.80%
8/18/2021,"2,450,516",-51.70%,"1,210,760",-38.80%,"117,200",-59%,"97,900",-62%,"22,715",-22.10%,"917,872",-3.60%
8/17/2021,"2,432,692",-52.40%,"1,209,633",-39.90%,"120,700",-58%,"103,600",-60%,"22,245",-21.50%,"909,180",-4.50%
8/16/2021,"2,292,396",-52.50%,"1,170,216",-39.00%,"123,900",-57%,"100,300",-62%,"20,087",-22.70%,"910,779",-3.20%
8/15/2021,"1,430,620",-37.10%,"661,705",-39.20%,"73,000",-22%,"54,400",-32%,"12,395",-30.90%,"918,288",0.70%
8/14/2021,"1,718,222",-40.00%,"811,826",-41.30%,"75,700",-33%,"57,700",-40%,"13,157",-20.70%,"904,780",-4.50%
8/13/2021,"2,434,624",-51.50%,"1,189,426",-39.90%,"123,800",-59%,"91,900",-66%,"21,336",-21.20%,"973,883",-3.40%
08/12/2021,"2,453,353",-53.90%,"1,223,666",-40.40%,"119,700",-58%,"90,800",-65%,"22,427",-22.10%,"965,578",-3.20%
08/11/2021,"2,480,877",-52.70%,"1,246,306",-38.50%,"119,700",-58%,"94,700",-63%,"23,338",-22.20%,"931,264",-1.70%
08/10/2021,"2,447,231",-52.40%,"1,245,670",-36.90%,"122,500",-58%,"95,300",-63%,"23,079",-18.20%,"905,508",-0.10%
08/09/2021,"2,294,279",-54.40%,"1,183,050",-40.50%,"109,900",-62%,"95,600",-64%,"20,540",-21.60%,"891,525",-5.80%
08/08/2021,"1,333,885",-46.20%,"598,574",-45.60%,"61,100",-35%,"54,300",-32%,"11,934",-33.00%,"843,489",-7.80%
08/07/2021,"1,780,458",-41.10%,"836,715",-39.30%,"76,800",-32%,"67,300",-30%,"14,108",-17.00%,"923,751",-5.60%
08/06/2021,"2,523,944",-51.20%,"1,222,343",-39.30%,"123,200",-59%,"101,200",-62%,"22,179",-19.00%,"979,833",-4.20%
08/05/2021,"2,534,287",-53.40%,"1,259,332",-40.10%,"120,000",-58%,"98,300",-62%,"22,610",-22.20%,"956,306",-4.40%
08/04/2021,"2,534,018",-51.80%,"1,257,876",-36.80%,"123,700",-57%,"99,300",-62%,"23,611",-19.70%,"921,068",0.60%
08/03/2021,"2,489,064",-53.50%,"1,262,043",-40.30%,"123,900",-57%,"103,200",-60%,"22,828",-21.70%,"904,753",-3.20%
08/02/2021,"2,338,722",-54.50%,"1,208,484",-41.40%,"126,200",-57%,"102,300",-62%,"19,824",-26.10%,"903,514",-4.00%
08/01/2021,"1,351,294",-44.80%,"629,963",-44.30%,"66,000",-29%,"52,000",-35%,"11,627",-37.00%,"869,092",-6.10%
7/31/2021,"1,841,007",-38.80%,"857,333",-38.60%,"85,400",-24%,"67,100",-30%,"13,932",-16.40%,"953,445",1.50%
7/30/2021,"2,562,489",-50.90%,"1,235,623",-39.70%,"131,900",-56%,"103,500",-61%,"22,127",-19.20%,"988,596",-3.00%
7/29/2021,"2,433,507",-55.50%,"1,186,642",-44.90%,"120,300",-58%,"94,700",-64%,"22,164",-23.30%,"918,380",-9.00%
7/28/2021,"2,539,760",-52.60%,"1,276,296",-37.60%,"126,800",-56%,"100,000",-61%,"23,145",-21.40%,"932,094",-1.30%
7/27/2021,"2,493,079",-53.80%,"1,267,804",-40.20%,"128,300",-56%,"103,000",-60%,"22,609",-21.90%,"918,908",-3.10%
7/26/2021,"2,323,169",-54.90%,"1,219,135",-40.90%,"129,900",-55%,"101,300",-62%,"19,910",-24.60%,"907,205",-3.90%
7/25/2021,"1,364,830",-44.00%,"625,645",-44.40%,"66,400",-29%,"53,100",-34%,"11,419",-36.90%,"864,361",-9.20%
7/24/2021,"1,852,402",-39.30%,"856,250",-38.80%,"84,900",-25%,"68,600",-29%,"14,042",-16.90%,"950,568",-3.40%
7/23/2021,"2,557,043",-51.90%,"1,219,255",-40.20%,"130,500",-56%,"101,100",-62%,"22,314",-19.20%,"985,198",-5.10%
7/22/2021,"2,587,338",-53.50%,"1,279,778",-40.50%,"127,300",-56%,"102,300",-61%,"23,122",-21.20%,"963,493",-5.00%
7/21/2021,"2,509,502",-55.20%,"1,225,595",-43.80%,"121,500",-58%,"104,900",-59%,"22,865",-24.80%,"914,902",-6.60%
7/20/2021,"2,467,017",-53.30%,"1,217,802",-40.00%,"125,800",-56%,"107,000",-59%,"22,213",-23.50%,"924,495",1.00%
7/19/2021,"2,332,473",-53.90%,"1,208,792",-39.30%,"126,700",-56%,"103,400",-61%,"20,276",-23.00%,"897,298",-1.70%
7/18/2021,"1,405,344",-35.50%,"640,618",-37.90%,"67,400",-28%,"56,200",-30%,"11,313",-26.80%,"838,604",-4.00%
7/17/2021,"1,717,480",-35.10%,"795,347",-37.40%,"73,000",-35%,"64,500",-33%,"13,228",-11.80%,"897,001",-3.00%
7/16/2021,"2,541,195",-51.20%,"1,219,118",-40.60%,"123,500",-59%,"104,300",-61%,"21,730",-19.40%,"983,846",-4.30%
7/15/2021,"2,586,791",-52.20%,"1,275,846",-37.60%,"125,600",-56%,"105,200",-60%,"23,772",-18.00%,"971,048",-0.70%
7/14/2021,"2,522,633",-54.00%,"1,260,044",-40.40%,"120,500",-58%,"101,800",-61%,"23,662",-22.50%,"919,213",-2.90%
7/13/2021,"2,462,643",-55.60%,"1,239,045",-42.80%,"123,400",-57%,"105,300",-59%,"22,286",-25.70%,"895,705",-6.30%
07/12/2021,"2,249,975",-57.50%,"1,171,521",-44.10%,"120,500",-59%,"99,000",-63%,"20,623",-23.60%,"866,231",-8.80%
07/11/2021,"1,367,403",-43.90%,"635,511",-43.70%,"62,600",-33%,"53,200",-34%,"11,725",-34.80%,"830,775",-12.50%
07/10/2021,"1,783,921",-41.20%,"855,908",-41.10%,"73,000",-35%,"64,400",-33%,"14,518",-15.30%,"925,950",-6.90%
07/09/2021,"2,322,712",-57.00%,"1,115,969",-45.20%,"109,400",-63%,"88,300",-67%,"20,632",-25.70%,"888,932",-12.60%
07/08/2021,"2,369,035",-56.90%,"1,164,513",-44.00%,"116,300",-60%,"93,200",-64%,"22,941",-22.60%,"897,858",-7.50%
07/07/2021,"2,442,092",-56.20%,"1,234,617",-43.40%,"122,600",-57%,"99,100",-62%,"23,637",-21.40%,"926,634",-3.40%
07/06/2021,"2,306,692",-57.80%,"1,181,416",-45.60%,"127,900",-56%,"100,500",-61%,"22,648",-24.00%,"903,777",-4.80%
07/05/2021,"1,497,714",-35.30%,"770,321",-30.10%,"78,400",-16%,"59,700",-78%,"10,303",-43.10%,"838,087",-9.30%
07/04/2021,"1,470,325",-46.00%,"615,001",-44.90%,"70,200",-25%,"63,900",-20%,"12,816",-1.60%,"773,629",-11.70%
07/03/2021,"1,543,756",-40.50%,"738,089",-42.20%,"63,800",-43%,"57,400",-41%,"12,676",-12.60%,"777,262",-2.10%
07/02/2021,"2,300,302",-41.00%,"1,121,116",-36.30%,"116,500",-61%,"94,300",-65%,"21,489",-3.20%,"920,188",7.60%
07/01/2021,"2,297,059",-58.20%,"1,104,516",-46.90%,"114,400",-60%,"90,000",-65%,"22,011",-25.70%,"933,638",21.40%
6/30/2021,"2,350,864",-55.00%,"1,139,886",-45.30%,"119,400",-58%,"99,500",-62%,"23,001",-23.10%,"945,822",-6.30%
6/29/2021,"2,348,456",-56.00%,"1,169,268",-43.80%,"119,400",-59%,"97,800",-62%,"21,612",-26.80%,"930,011",-1.80%
6/28/2021,"2,256,926",-56.70%,"1,152,019",-43.60%,"122,300",-58%,"101,500",-62%,"20,503",-23.10%,"924,740",-3.50%
6/27/2021,"1,561,403",-48.30%,"656,004",-40.40%,"75,100",-20%,"62,400",-22%,"11,883",-30.40%,"900,039",-3.50%
6/26/2021,"1,855,861",-41.80%,"841,585",-36.90%,"76,600",-32%,"66,700",-31%,"13,520",-15.90%,"950,086",-1.80%
6/25/2021,"2,587,425",-52.70%,"1,214,123",-39.10%,"126,700",-58%,"100,500",-63%,"22,400",-19.70%,"988,675",-5.50%
6/24/2021,"2,557,684",-54.80%,"1,248,843",-40.10%,"121,500",-58%,"100,500",-61%,"22,842",-22.90%,"978,351",-6.30%
6/23/2021,"2,552,443",-56.00%,"1,264,095",-44.00%,"121,900",-57%,"101,900",-61%,"24,223",-21.20%,"946,870",-6.80%
6/22/2021,"2,359,521",-57.30%,"1,172,110",-44.30%,"116,200",-60%,"97,600",-62%,"22,293",-25.30%,"896,868",-6.20%
6/21/2021,"2,268,969",-58.10%,"1,191,844",-43.90%,"123,900",-57%,"95,700",-64%,"20,512",-24.50%,"926,300",-5.50%
6/20/2021,"1,389,352",-47.10%,"652,557",-41.90%,"77,000",-18%,"60,900",-24%,"13,189",-29.50%,"951,631",-1.70%
6/19/2021,"1,784,312",-45.90%,"841,519",-40.00%,"76,500",-32%,"66,100",-31%,"13,949",-19.80%,"952,944",-5.00%
6/18/2021,"2,576,562",-53.60%,"1,235,675",-33.90%,"122,800",-59%,"104,300",-61%,"22,491",-21.20%,"989,296",-3.60%
6/17/2021,"2,557,486",-55.10%,"1,281,552",-37.20%,"121,600",-58%,"98,400",-62%,"23,292",-22.20%,"973,485",-2.60%
6/16/2021,"2,524,189",-56.00%,"1,288,040",-41.30%,"119,200",-58%,"94,700",-63%,"24,788",-20.60%,"945,955",-2.50%
6/15/2021,"2,474,710",-55.90%,"1,277,203",-39.20%,"117,600",-59%,"96,700",-63%,"23,460",-22.20%,"917,933",-1.30%
6/14/2021,"2,227,391",-59.20%,"1,176,722",-46.00%,"115,300",-60%,"91,100",-66%,"21,568",-20.80%,"869,235",-8.50%
6/13/2021,"1,379,959",-40.80%,"647,385",-38.20%,"59,200",-37%,"51,700",-36%,"12,047",-35.40%,"887,098",-4.80%
06/12/2021,"1,775,538",-44.50%,"849,178",-40.50%,"68,200",-40%,"61,500",-36%,"14,450",-19.50%,"919,318",-9.00%
06/11/2021,"2,472,629",-56.70%,"1,221,484",-45.30%,"118,300",-61%,"94,600",-65%,"23,324",-19.30%,"968,763",-7.00%
06/10/2021,"2,478,619",-56.60%,"1,276,901",-41.50%,"113,200",-61%,"91,300",-65%,"23,498",-20.40%,"951,274",-2.10%
06/09/2021,"2,390,612",-59.40%,"1,259,005",-46.00%,"107,900",-62%,"90,600",-65%,"23,868",-25.50%,"908,563",-7.30%
06/08/2021,"2,270,152",-60.60%,"1,175,335",-47.50%,"108,300",-62%,"88,000",-66%,"22,948",-21.90%,"878,376",-8.50%
06/07/2021,"2,227,613",-57.80%,"1,200,737",-41.50%,"112,100",-61%,"89,400",-66%,"21,511",-17.40%,"897,208",2.20%
06/06/2021,"1,363,344",-47.40%,"654,780",-39.70%,"61,900",-34%,"51,500",-36%,"12,514",-30.20%,"921,829",3.40%
06/05/2021,"1,792,204",-45.20%,"874,545",-38.20%,"72,800",-35%,"62,700",-35%,"14,636",-18.10%,"946,758",-2.30%
06/04/2021,"2,314,340",-59.20%,"1,160,335",-48.00%,"104,600",-65%,"88,900",-67%,"22,743",-21.30%,"930,743",-9.70%
06/03/2021,"2,238,336",-60.90%,"1,143,159",-47.20%,"102,800",-64%,"84,800",-67%,"23,026",-22.80%,"895,524",-10.90%
06/02/2021,"2,348,517",-59.20%,"1,249,102",-45.30%,"112,500",-61%,"90,800",-65%,"24,325",-21.30%,"910,385",-5.70%
06/01/2021,"2,263,536",-59.10%,"1,230,127",-41.70%,"114,800",-60%,"94,900",-63%,"22,308",-24.70%,"907,698",-4.60%
5/31/2021,"1,391,302",-46.60%,"702,801",-39.00%,"102,300",-68%,"63,000",-78%,"10,380",-3.80%,"756,187",-20.90%
5/30/2021,"1,066,132",-57.90%,"484,864",-55.30%,"43,400",-55%,"47,200",-55%,"10,028",-44.50%,"664,029",-25.90%
5/29/2021,"1,371,467",-56.80%,"648,192",-54.40%,"54,800",-54%,"71,700",-52%,"11,734",-32.40%,"744,860",-22.90%
5/28/2021,"2,236,646",-61.20%,"1,135,369",-48.70%,"112,800",-65%,"89,300",-69%,"21,520",-22.90%,"931,760",-11.20%
5/27/2021,"2,356,638",-59.00%,"1,246,269",-43.00%,"117,300",-63%,"90,600",-68%,"23,450",-18.10%,"970,920",-0.50%
5/26/2021,"2,280,311",-60.00%,"1,241,052",-43.70%,"114,500",-64%,"86,700",-70%,"23,594",-19.80%,"921,084",-2.80%
5/25/2021,"2,275,628",-58.10%,"1,253,998",-42.40%,"110,900",-65%,"85,900",-70%,"22,854",-19.30%,"902,577",-2.50%
5/24/2021,"2,123,129",-61.70%,"1,192,453",-46.40%,"105,500",-67%,"80,800",-72%,"21,563",-24.20%,"869,940",10.50%
5/23/2021,"1,270,286",-50.10%,"645,466",-39.30%,"58,000",-41%,"63,700",-39%,"11,765",-36.20%,"885,740",1.00%
5/22/2021,"1,647,055",-45.30%,"839,877",-37.00%,"66,300",-44%,"94,500",-37%,"13,397",-15.40%,"911,148",0.90%
5/21/2021,"2,336,140",-56.90%,"1,221,591",-44.50%,"110,100",-66%,"90,900",-68%,"22,520",-19.00%,"965,528",-8.10%
5/20/2021,"2,273,912",-60.00%,"1,243,965",-43.20%,"106,600",-67%,"82,700",-71%,"23,659",-20.40%,"931,659",-8.10%
5/19/2021,"2,261,916",-61.60%,"1,253,578",-46.10%,"104,800",-67%,"82,700",-71%,"23,784",-23.90%,"915,644",-7.70%
5/18/2021,"2,154,370",-63.20%,"1,215,676",-47.60%,"100,400",-69%,"80,300",-72%,"22,367",-25.60%,"838,307",-13.50%
